artist_hottest_name,artist_hottest_id,artist_hottest_hotttnesss
??????????€?,AR70DCF1187FB54450,0.615414
?????????,ARYEX1H1187FB41FD2,0.512733
Regina Spektor,AR4UL0A1187FB36895,0.610264
Toby Turner,ARHHNPT12A10043AC4,0.557903
Ola Belle Reed,ARW7HJL1187B98A9A9,0.504514
Le Trio Joubran,AR86SBX11C8A415E3E,0.55098
Elissa,ARFGP4J1187B98D720,0.595328
??smail YK,ARGGUU81187FB46496,0.491366
??l mat?? a un polic??a motorizado,ARMZ4R71187B98FBC9,0.530818
Los Cafres,ARDHVC21187B9B9DD2,0.590201
Charly Garc??a,AR7NNKG1187FB4AA1C,0.590193
Harout Pamboukjian,ARVBAHG1241B9CD512,0.470159
David Bowie,ARJA1841187FB3A029,0.814477
Love Tractor,ARCOQI01187FB4A3A3,0.407313
Amesoeurs,AR50IDN1187FB4B0FA,0.557096
Glowworm,AR43ERV1187FB5CA98,0.518306
Irreversible,AR7YT011187FB47C30,0.525879
San Cisco,ARYUOHX131529ED7A2,0.574175
Ume,ARJKB0R1187FB43381,0.501652
Sarah Blasko,AR7KV2A1187FB466FC,0.637859
Lee Kernaghan,AR4VW7A1187FB493FE,0.661273
Tommy Trash,ARUR1511187FB3DCB2,0.690422
seth sentry,ARIAYLE11EBCD7A32B,0.683795
Laura Jean,AR29VNI1187B99420F,0.502095
John Williamson,AREQUJ71187FB3DEEB,0.586096
Die Vamummtn,ARZIFFE1269FCD5C42,0.471756
Hubert von Goisern,ARSX3H31187FB3D86F,0.572219
Olivier Messiaen,AR342K51187B98B571,0.528383
Ornette Coleman,ARB3TCS1187B99A0D2,0.564632
Ulver,ARH5VMV1187B9AF579,0.584334
Claudia Leitte,ARELANP125FEF31D72,0.588002
Wande Coal,ARAHXFH123E29C22C2,0.568042
Aventura,ARL4W6Q1187FB4713C,0.626465
Gaiola Das Popozudas,ARVWKQV1187B9B9294,0.551587
Todd Terje,AR0U6711187FB3FFB1,0.583945
Shantel,ARFCYCX1187FB3A704,0.539764
Banda Sinaloense MS de Sergio Liz??rraga,ARLQFWU12AA0D9194B,0.765084
Aurthohin,AR07SXK1187B99D57E,0.5056
Vocal Spectrum,ARFJOFR11F50C48B76,0.461069
Levende Lys,ARHQIHM12AF7DB884D,0.494688
Jojje Wadenius,ARXZEDD121318C5862,0.508376
Louis Couperin,ARDM6WT1187FB4C2D1,0.514518
Musica Pacifica,AROGTGY11F4C841E5E,0.3891
Berri Txarrak,ARJKJX31187B9B9BAC,0.520378
SBTRKT,AROMQSM12AA0D8E02B,0.694289
Miles Bonny,ARUGBRL12086C1492F,0.478762
TS7,ARGBGYA1187B99B4EB,0.455345
Lil Coner,ARWWWHR122988F2158,0.462493
The Showmen,ARHBFUV1187B9949A2,0.494026
Rise Of The Northstar,ARXCOHG134D7A062A3,0.535041
Jansport J,ARJIGBD129CDD17A7A,0.470928
Miles Davis,AR7RTGF1187FB38793,0.697302
Lucy Lucy!,ARDAADP12AA0D89EE3,0.496931
Admiral Freebee,ARRAH9J1187B9B7607,0.567309
Warda,ARHRIHV11E2835E4B5,0.524607
Lyapis Trubetskoy,ARVBFMR11F4C843362,0.504261
Ryu???,ARR0GZK1187FB45D52,0.502534
Safari Sound Band,ARW01SB1187B9B10A3,0.487236
Amrinder Gill,ARO2B6A1187B9AEE97,0.652387
Duke Ellington,ARMI36C1187B99A462,0.616767
Leftfield,ARQLGB41187FB4F7EB,0.702951
Avicii,ARWLAEE122BCFCA245,0.896362
Necros Christos,AR4JYES1187FB4FC5A,0.479407
Burzum,ARTAWLO1187B9ACE3D,0.588466
Indian,ARHI6R61187B9AF891,0.484496
Sarc??fago,AR5FRDT1187B9A6BE3,0.528044
Lantl??s,ARYUNVC11E2835D401,0.568661
Ernst Mosch und seine Original Egerl??nder Musikanten,AR8XG7M1187B9AD619,0.470494
Ricky Skaggs,ARQVA291187FB3B85A,0.54472
Buddy Guy,ARZXNFV1187B9BA2CD,0.597172
Eric Clapton,ARLAUED1187B9ACEAF,0.661966
Josh Smith,ARXNERV1241B9C64F0,0.437254
Tittsworth,ARI3LFX1187FB5464D,0.470801
Marco Antonio Mu??iz,AR9VPVF1187B99D740,0.557001
Willie Col??n,ARPVMJZ1187FB48D2D,0.580811
Jimmy Yancey,ARG02OJ1187B9AE1BD,0.493126
Ant??nio Carlos Jobim,ARIQC381187B9A825E,0.580549
S??rgio Mendes Trio,ARHDPNZ11E2835CEFC,0.4676
The Breeders,AR62BB21187B9AC83D,0.556616
DJ Jubilee,ARUMBUH1269FCCE7B8,0.448102
Darren Styles,ARPEHB71187B9A2AD0,0.532012
Ludovico Einaudi,AROUAIO1187FB37410,0.715816
Take That,AR3MMZH1187B9B55D0,0.701285
Kermit Ruffins,ARCGLMM1187B9902B6,0.549272
Boston Brass,ARSUCDL11F50C4E70B,0.457062
Baden Powell,ARHVD441187B9B759D,0.513599
Aline Barros,ARQHBH81187B98C195,0.568066
Emicida,ARPCELE126FC9C0EC9,0.661003
Na????o Zumbi,AR65UIK1187B9AC580,0.54831
Marisa Monte,ARCEXLE1187FB3A93E,0.706517
Ratos de Por??o,ARXFP7U1187FB472E6,0.581136
Bassnectar,AR3QU991187B9B2647,0.615705
Venetian Snares,ARNCTJ91187B98D813,0.547658
Under This,ARPSEGS1241B9C4C40,0.501265
Jos?? Augusto,AR0CWSC1187B9AFE3F,0.494861
Sonerien Du,ARW2Y3T1187B9B1A47,0.440932
Paul Anka,AR65T9K1187FB3842E,0.65688
Young Guns,ARFEZGM11F4C83DD64,0.584927
The Rolling Stones,ARFCUN31187B9AD578,0.734121
Black Dyke Band,ARRBMFE1187B9A430F,0.494929
Al Bowlly,AR2DBFG1187B9A59FB,0.490202
Richard Thompson,ARSTKIT1187B9A37A8,0.552738
Bombay Bicycle Club,ARKZAYA1187FB56F00,0.614401
The Beatles,AR6XZ861187FB4CECD,0.775545
Blur,ARKVITV1187B9AE854,0.658973
Aaron Tveit,ARFNIWW124549A3720,0.568399
4hero,ARGQHYN1187FB3AEE1,0.53521
The Echo-Friendly,ARKCIJR130DCC6FB86,0.499968
Skrillex,ARUAMGA123E29C15AD,0.840568
Aborted,ARF041T1187FB3B4FF,0.588909
Fallujah,ARLOFHB1333D46420F,0.545433
DJ Quicksilver,AR48J791187FB52CEF,0.546481
Aqua,AR7WSQE1187FB4CF08,0.550799
The Monkees,ARY1LTC1187B9B1DC4,0.581232
Mastilo,ARKXMKT1257509CCF6,0.615408
St. Peter St. Paul Cathedral Choir of Minsk,ARGWITT12CEB275709,0.45956
?????????,ARWQ5781187B9909AC,0.665725
Makke,AR1FM9M1187FB3EBC0,0.482013
14 Iced Bears,ARSVQJO1187FB4FE4F,0.516553
Peggy Lee,ARSC6WR1187FB40B18,0.647238
Bonsoir Catin,ARJMTHE122C8677662,0.407526
Lord Kitchener,ARK1C8Z1187B9ABAAB,0.493842
High Valley,AR7SEN311C8A414E87,0.67105
JD ERA,ARGNJCK11EB9C82947,0.414185
Sam Roberts Band,ARZUROF12EBF655915,0.551579
Kataklysm,ARU1LDO1187B9B19D2,0.559338
Carly Rae Jepsen,ARRWGYU12086C17800,0.798568
Avril Lavigne,ARY53RR1187B9AE485,0.690703
Joaqu??n Sabina,ARPE9VW1187B9B2398,0.669836
Fosforito,ARAFWOX1187FB40FB0,0.485177
Caravan,AR6QMID1187FB53957,0.519886
?????????,ARWQ5781187B9909AC,0.665725
Gianni Vezzosi,ARRVZOQ1241B9CEA88,0.469631
Mestre Acordeon,ARVETJA1187FB4EE4E,0.482665
M.S. Subbulakshmi,ARQPCLH1187FB38B5E,0.541272
Tut Tut Child,ARVADDL136F6F0C839,0.613529
Kesane Quartet,ARYQAYU11F50C4FB12,0.335759
Chris Tomlin,ARER3QP1187B9A8DC4,0.702713
The Tulla Ceili Band,AR2O9281187FB46F8B,0.419539
Break of Reality,ARZDXAD11E8A2E28F7,0.525777
Clannad,ARPXDY61187B9AD0A8,0.574072
Clannad,ARPXDY61187B9AD0A8,0.574072
Rum Rebellion,ARJDSMH122988FB0BB,0.522734
Pogues,ARWKGJD11F50C4ECF9,0.654386
Ardak Balazhanova,ARHFZXI11F50C4FA46,0.31648
Ceca,AR6ZO1H1187FB4DC49,0.532432
Arcade Fire,ARFC93D1187FB49D2E,0.714218
??dith Piaf,AR5O86P1187FB3B8CD,0.676587
Ren??e Martel,ARVR3BX1187FB362E7,0.451342
Cobalt,AR1L9EV1187B9976F0,0.530525
Code Orange Kids,ARIPHHT1373E170F05,0.530098
Svart Crown,ARPFIKK122BCFCBE3B,0.493984
Buddy Guy,ARZXNFV1187B9BA2CD,0.597172
Frankie Knuckles,AR3X0GS1187FB3F714,0.569459
The Record Low,ARCQRBO12D5CD791ED,0.425098
Jackie Wilson,ARHRKTK1187B99E1D5,0.550906
Lighter Shade Of Brown,ARXPFF91187B988F9F,0.570809
Kidz Bop Kids,ARULXDM1293C0280DF,0.705363
Kidz Bop Kids,ARULXDM1293C0280DF,0.705363
Francisca Valenzuela,ARMSIFW11EBCD7AFE0,0.616211
Aksutique,ARDNVBB12AA0D8C825,0.444071
Triangle Sun,AR3FQ3U1187FB4070D,0.522308
Massive Attack,ARNF13I1187FB562A5,0.671334
My 7sky,ARKPRZB13687E7215E,0.420251
Mitis,ARSRFIA1343CFCE018,0.601403
Washed Out,ARWOHDG122E6447E8D,0.705973
Carsick Cars,ARVWLC11187FB56F36,0.44803
Gao Qingkui,ARSDLGK11F4C83F58E,0.263082
Guan Pinghu,ARQQXOM11F4C83F5DF,0.414774
Jamesphoney,ARAPZZW1241B9C6B29,0.442744
Anamanaguchi,AR5P0MZ1187B9B2A14,0.591576
"Choir Of King's College, Cambridge",ARTECOV11F50C4A109,0.536284
Pixinguinha,ARLQQ2K1187B990ADA,0.518006
tobyMac,ARD66TF1187B9A1670,0.681031
MercyMe,AR5JX5U1187FB52F2F,0.653336
David Thulin,ARYAYTL12AA0D9135D,0.483536
For Today,ARWMFZH11C8A4219E0,0.558835
LeCrae,ARKJBGA1187B9973AF,0.61123
Demon Hunter,ARQETJY1187FB3FE74,0.576145
Chris Tomlin,ARER3QP1187B9A8DC4,0.702713
Relient K,ARYDTFO1187B99B1E0,0.632161
tobyMac,ARD66TF1187B9A1670,0.681031
Frank Sinatra,ARTASUV1187B9A2B67,0.745919
Christmas Songs,AROSAOY11F33E00072,0.575587
Alchemyst,ARCWYQD1264D12B94D,0.400774
Karl Leister,ARG1ZFT1187FB5BF9A,0.427944
Rex Williams,AR5GE0Z1187B9A351F,0.50414
Bart Ka??ll,ARNGM2T1187FB47B36,0.529686
?????????,ARQFAL91187B99904C,0.500679
Los Visconti,ARLXVO91187B9B9D2C,0.495388
V??ra ??pinarov??,ARC8DKT119B8667EDB,0.4831
Danser med drenge,ARQZ0SI1187FB4870A,0.523717
New Four,AROA9L21187B99AE80,0.423581
Corinne Hermes,ARZ6NT71187B99DD52,0.453625
Taiska,ARSDMO81187FB3E152,0.486736
Juice Leskinen & Coitus Int,ARDPSN21187B98ECBF,0.483555
St??phanie,ARDYYZF1187FB58716,0.491303
Sly & The Family Stone,ARDJZ181187B9B7FBF,0.691161
The Kingsmen,ARUYIJ01187FB51CF6,0.553858
Mino Reitano,ARY7CXN1187B9B4A3D,0.464614
Hanne Krogh,AR0DC8R1187FB3E14B,0.563692
Manuel Donayre,ARQD9PB1187B994298,0.477378
Wojciech M??ynarski,AR8JP2M11C8A4158C6,0.518653
The Maze,ARIVSI41187B9AF66B,0.473647
Led Zeppelin,ARDIBRT1187B9AF176,0.784638
Verka serduchka,ARTV3ER1187B98AD07,0.492341
?????????€??????,ARRB40Z1187FB42AA6,0.551108
Ren?? Carol,ARM99NU1187B9B8E04,0.472671
Francesco De Masi,ARJGVC31187B9AE910,0.50979
Eldkvarn,ARAJQDC1187B991C31,0.514837
Nazan ??oray,ARF797V1187B994238,0.459393
Cecilia Todd,ARWEHSW1241B9C9610,0.474808
Ludwig van Beethoven,ARIGDQZ1187FB44FAB,0.600394
Ludwig van Beethoven,ARIGDQZ1187FB44FAB,0.600394
Emmanuel Pahud,ARBLVC61187FB4C783,0.504013
Antonio Lauro,AR0LJEF1187B98E0DD,0.473997
Marie-Claire Alain,ARDQHOX1187FB3A388,0.493773
Lang Lang,ARUHXSY122BCFCD27D,0.55671
Carl Stamitz,ARRAHLI1187B9B088C,0.518972
Vladimir Horowitz,ARCPSQA11F4C83C1E3,0.530388
Voices in Your Head,ARDDBKT12AF7DB8C04,0.487489
Ohio State University Marching Band,ARXBPGU1187B9A3D9D,0.481046
Superlitio,ARNJSLN126FE025374,0.551294
84 Nash,AR0TNOO1187B9A4292,0.331185
Patton Oswalt,AR20BO61187B9B880E,0.570691
Nice Peter,AR4QR7411C8A415F2E,0.552374
Adam Sandler,ARI38ZY1187B9B6C9C,0.650176
Both,ARHP3QZ1187B9B9953,0.485395
Zedd,ARTQFNZ12E2A671BBF,0.828339
Lera Auerbach,AR503JD1187FB4AE40,0.47526
Denis Matsuev,ARAVBGP1241B9C4FD0,0.491009
Amsterdam Baroque Orchestra,ARJ71611187FB3B532,0.507735
Hans Zender,AR28FOW1187B9A858D,0.365112
Keith Urban,AR95IYB1187FB3FE0B,0.779582
James Keelaghan,ARXE1EM1187B98E8CE,0.495972
Ambrose Akinmusire,ARRNSJY122988FE8CC,0.530575
Herbie Hancock,AR5KAA01187FB5AEB7,0.634031
Miles Davis,AR7RTGF1187FB38793,0.697302
Solemn Novena,AR8F4OP1187FB5CF3B,0.498933
A Filetta,ARI0PEZ1187FB586E9,0.484108
Tim McGraw,ARDR3K91187B9B04EB,0.782224
Taj Mahal,ARA7Y2Y1187B9B8588,0.634229
George Strait,ARK4ZEK1187B990A4F,0.763592
Kacey Musgraves,AROJNKE11EB9C8253F,0.607905
Loretta Lynn,AR88F5X1187FB3EA17,0.626515
Luke Bryan,ARNNM56119B86686EA,0.802048
Neil Young,ARWT91C1187B9ACEAA,0.757458
Kedjevara,ARRMZDE1269FB34E19,0.488998
Urselle,ARWNO2J1187B99FB35,0.50212
Soulshifters,ARINVBL1269FCD7480,0.448654
Gene Autry,ARZ1PTN1187B9967D9,0.601107
Steve Earle,ARRX7Z01187B9AC449,0.611737
Star Fucking Hipsters,ARTLFQN11E2835CDD7,0.528531
Jelena Rozga,AR17W0S1187FB449BB,0.568464
Frequency Drift,AROOBSB122988FF3F7,0.462654
D.R.I.,ARH95YN1187B9B2F0B,0.6048
Lil Jon,ARHLGDG11F4C846A37,0.784921
Extreme Noise Terror,AR3E8CU1187B9B1677,0.527475
Utgard,ARLKRFT11F50C4F267,0.399476
Beny Mor??,ARPTWTH1187B9946A6,0.520406
Osmani Garcia,AROXJJJ1269FB3608C,0.623465
La Sonora Dinamita,ARCZD3V1187B9B9BE8,0.504169
Los Miticos Del Ritmo,ARDGFBU136F6F0C439,0.467455
Junior Klan,ARWAGEN11F50C4827F,0.494969
Damas Gratis,ARHPP631187B9A52E9,0.551347
Sybreed,ARI4QF11187B9A3666,0.521057
Petr Skoumal,ARN29AC119B34034F7,0.510388
Tata Bojs,AR1IVRT1187B99D88C,0.49481
Smile Smile,ARXM7EH1187B9A023F,0.455108
Rihanna,ARKU3Z61187FB51DCA,0.830018
New Order,ARNHHIV1187FB4EA23,0.710665
Foals,ARVXV1J1187FB5BF88,0.728795
Sizzla,ARNNQ9E1187FB3C82F,0.572025
Nike Ardilla,AROYEOT12FE085E2E8,0.541825
Pede B,ARS8LI91187B98ADE7,0.500257
Hymns from Nineveh,ARZWGDH1269FB36F48,0.487488
Sinne Eeg,AR4EN09119B86693F9,0.479773
Mads Langer,ARAXXQ01187FB42BFA,0.646383
Maria Montell,AR2KZ2E1187B988E46,0.499785
Larz-Kristerz,ARBNPKI121318C562B,0.517794
Sie Gubba,AR908YQ1187FB43998,0.565897
Gustav Winckler,AR909261187FB4F3A4,0.475644
Lustmord,ARSL3XF1187B9BA2B7,0.520201
Watain,ARM5OQM1187B99FF03,0.586762
Amanda Palmer,AR64UKA1187FB55AA4,0.581894
Filament 38,ARMHWLQ1187B99E28F,0.375772
Omi,ARZ2B1F1187FB3EAAD,0.846
Arve Henriksen,ARYWAN11187FB45CB4,0.494799
Niereich,ARAVTIG12CEB274D1A,0.478375
Chris Drifter,ARZSRPA11F4C842F54,0.441079
Paraforce,ARHRUOV119B34037C6,0.452592
Diary of Dreams,ARMW20I1187B9A01CB,0.695493
SPL,ARBP94C1187B988EF7,0.524946
Chelsea Grin,ARLNRTO122BCFCCF27,0.605875
Morbid Angel,ARADTRO1187B9B19ED,0.593339
Aborted,ARF041T1187FB3B4FF,0.588909
Get Set Go,ARWCV901187B989F6E,0.489502
The Four Preps,AROALJO1187B98DAAF,0.501331
Brandon Beal,ARXROUH1241B9C5E03,0.660413
Max Corbacho,ARQHV6O1187FB45AA2,0.476496
Bob van Asperen,AR5PCFT1187B9B7E71,0.488964
Samba de Rainha,ARYBMOJ11E2835F189,0.443868
Ruby My Dear,ARRFLRW12F9DC11C24,0.474241
Octoberman,ARJOLN11187B9AF563,0.480693
Kim Walker,ARAIRHV12298900442,0.578249
Alfredo Piatti,ARMYZH71187B98FDD9,0.411845
Simon Le Grec,AR6MA4Z1187FB3A367,0.500786
Miscosity,ARWSWMB1264D1378DA,0.404626
DeGarmo & Key,ARB45GQ1187B98D2B4,0.484667
Positively 13 O'Clock,ARNOP621187B98FD58,0.432311
Blanca Uribe,ARFSAYP11F4C83B85C,0.375039
Kurt Metzger,ARQICTV12FA32379D5,0.497353
George Ducas,AREQD801187B98AA22,0.54009
Asher Monroe,AROSFWR133F5CF77D6,0.543016
Paraforce,ARHRUOV119B34037C6,0.452592
Helly Larson,ARPSBNP1257509C1E1,0.478483
Andrew Peret,ARZVGLX136E5710798,0.376793
Geeshie Wiley,AR6TT111187B98AD72,0.462577
Peter Jacques Band,ARNRGGW1187B9A19D8,0.485334
Finnebassen,ARZSLKB1373E1702D2,0.656766
Karneval!,ARYIRLL1257509E29E,0.475651
SizeMix,ARU34AT1187B9A3C31,0.496384
Fernando Lagreca,ARAH021119B8668A6C,0.476297
Kwest Tha Madd Lad,ARFXLJM11F50C49182,0.445598
Alle Farben,ARZDVZR1269FB35C21,0.598826
Shannon James,ARDNHKO11EBCD7B7F5,0.49697
Nuskulfunk,ARSWJFR131E333F6A7,0.480931
Red Foo,AREL9S41187FB38F83,0.696121
Aktarum,ARRRETN1271F576668,0.493064
Han Bennink,ARGGNKH1187FB5CB51,0.402946
SF Spanish Fly,ARVFAKZ123E29C26F4,0.413316
Deliriant,ARLZWAO1252CCF9429,0.466573
Sharon Jones and the Dap-Kings,ARYH89E1187FB53AEA,0.581834
Jazzy Eyewear,AR6XVOW1187B9AB11F,0.471954
Sean T,ARIOVWV11F4C843D07,0.410223
Tele,ARSL4XO1187FB3ADBA,0.472863
Frau Potz,ARRXDQM13559202F84,0.540899
Motorama,ARUR7CA1187B9B196C,0.550121
Clowny,ARKKHSH12E9676D465,0.35476
50% of the Dreamteam,ARZYX0Q1187B9A2BAC,0.390505
Circle One,AR4BWDK1187FB4396E,0.39443
J.T.S.,ARRQEPJ1187FB46A01,0.385
Dennis Ferrer,AR31Y6Y1187B99A541,0.5685
Ilaiyaraaja,AR7ML5Z1187B9963EE,0.666548
The Rest,AR9V4K21187FB4C9D2,0.502443
Thomas Tantrum,AR9CL8611C8A42226E,0.495226
Claire Fowler,AROMVMA124207835C3,0.416009
Saxophone,AROKINZ12AEE35957C,0.45709
UZEB,ARNMKA51187FB4D40D,0.472429
Frank Vignola,ARYTTQW1187B9BA487,0.46095
Helen Sung,ARNTAEH11F50C4DEF7,0.420133
Sol Pereyra,ARHRLKU12DA0D14936,0.49417
Memro,ARKKCQA12D9A2F108A,0.50091
Tokyo Prose,ARDKPFO12FE0878E18,0.517896
Fallen Joy,AREFAMN12D5CD77221,0.480017
Electric Mary,ARZMIUP1187FB50567,0.487384
Purple Disco Machine,ARFLUOD12D5CD734C4,0.60851
Northlane,ARDVWGS133C82C7FD4,0.566071
Luigi Madonna,ARXCUXR1241B9CAD3B,0.506172
The Twistin' Kings,ARVIPB81187B9953BB,0.411931
Supercraft,ARXEUTR1272BCD1DE2,0.41143
The Owl Service,ARVXZCE1187FB5A970,0.50188
Fiat Lux,ARAG63C1187B999F8E,0.410269
Dalakopa,AR8XTTW1187B9971D9,0.426105
Northern Soul,AREHBZI11F50C49294,0.496884
Richard Tucker,ARZ9GAP1187B98930A,0.468843
Finghin Collins,ARJEHGW1241B9C87EF,0.523369
China Drum,AREQV8J1187FB3B059,0.490621
Sound the Alarm,ARMZG9W1187FB39B7A,0.406373
Carousel Kings,ARQWQWG13579952AF1,0.490255
The Mugwumps,ARYUONI12086C16EE7,0.411866
Cut Knob,ARQVUTC12FE085DC05,0.423105
Global Experience,ARZ3N6H1187FB583C0,0.504217
Reckless Ones,ARLPBZS12AF7DB146F,0.4718
Merkaba,ARRIYXC122ECCBCE20,0.512655
The Rings,ARHRAGC1187B9A773F,0.404549
Little Lenny,ARCFVBE1187B98ED21,0.438108
Kader Japonais,ARFYIDX1269FB271E1,0.458075
Alfredo Olivas,ARTFPLW12CEB2759EF,0.678409
Andrew Neu,ARZYKFM122ECCB774F,0.485373
Pages,ARUQD821187B9A8667,0.501227
Brawther,ARVVWSJ12EC561DB51,0.494194
Fernando Vel??zquez,ARZCL6J119B3402E30,0.48181
Willie Hightower,AR5MHD41187B98C895,0.445571
??resund Space Collective,ARLYRSJ11E2835D34D,0.50449
The Alberni String Quartet,ARWEYZO11F4C840A18,0.35845
Sweet Velvet,AR6RC3911C8A4158C3,0.490074
The Madeira,ARV0Y171187B9BA14F,0.481873
Anthelion,AR4DMVB119B3403674,0.496566
Jamie Lono,ARJJTPO12D5CD77591,0.480474
CamelPhat,ARTGGAK12B3B3532BC,0.581281
Mortillery,ARRILXM133B3F12416,0.476477
Future,ARP6DKX1187FB55C12,0.750915
??zel,ARWK10Q1187FB593E6,0.456839
Ti??sto,ARIW30O1187FB5A29A,0.821593
Jenna Drey,ARWQY4P1187FB406FE,0.441381
Amanda Carr,ARQOSVO122ECCBB52A,0.425829
Robert Johnson,AREWAAS1187B98C490,0.605959
Bj??rn Lynne,AR1HKQE1187FB51FD4,0.471389
The Epilogues,ARVSYXS11EBCD7B58F,0.464387
Exiled From Light,ARGQCDS124BAE72F30,0.518745
Tamikrest,ARGSTVF1271F574ABC,0.504509
Mika Singh,ARLLT3I1187FB3DCD0,0.705801
Duke Dumont,ARZNPPG1187FB4C845,0.808456
"Royce da 5'9""",AR2EDEM1187FB573B1,0.580614
Carl Craig,ARQ3EJL1187B98BF06,0.591313
David Hudson,ARYKXSD1187B9A4DAD,0.433983
Atari Teenage Riot,AR3TG3X1187FB4D577,0.54454
Rick Ross,ARNAIMI1187FB5733C,0.742523
Street Military,ARTELJA1187FB364D3,0.470612
Sister Sledge,ARZ5VKP1187FB3BB2F,0.650465
Martin Solveig,ARAJHQQ1187B98B369,0.803872
Nico Gemba,ARIK8NZ1187B99EE71,0.465387
Red Nichols & His Five Pennies,ARMVTD41187B9A3360,0.472107
Periphery,ARGO4RN1187B9B0BDA,0.631894
Juan Luis Guerra,AR7TDQ4119B86684AF,0.713184
The Cadillacs,ARY7XSH1187B98CAF3,0.555291
Electric Wizard,ARV5B2D1187FB36ED1,0.576641
Mindustries,AR0Y8SK1187B9AAE64,0.482303
Xi,ARRUMOM11F50C51802,0.554362
Bonobo,ARRB71R1187FB5751C,0.671866
Saru,AR9SHU11187B98A51D,0.50204
Aydio,AREVVMT122BCFCCB70,0.489109
Marx Brothers,ARSGWJH11F50C4E0E7,0.499728
Mazzy Star,ARKKNHS1187B9A3B49,0.627363
Copeland,ARG00DS1187B9ADFC8,0.597798
Aphex Twin,ARYPTWE1187FB49D64,0.61059
Fennesz,ARAEZSI1187B9A8D1E,0.538936
John Fahey,ARU75JD1187FB38B79,0.513119
Earth,AR4R9BI1187FB44767,0.580704
Robert Horton,AREZ8UC1187B99F1D2,0.343025
DJ Fresh,ARVLQBQ1187FB40FB4,0.625205
ASC,ARQMZUJ1187B997620,0.551366
Black Uhuru,ARMDWND1187B9AEBE2,0.579709
Bvdub,ARZLWJ21187FB57513,0.512517
Benga,ARNBIUE1187FB3E846,0.568294
Space Temple,ARDCVSK12FE0875915,0.43402
DJ Smash,AR1UZKI1187B9B368C,0.580534
Beto y Sus Canarios,AR21EJD1187FB3B9A9,0.514511
Diggy Dex,ARTMPEE122BCFCD667,0.663364
Afrojack,ARX6MR511C8A42C159,0.786855
Marco Borsato,ARNTMNA1187B9AD01D,0.757846
Kensington,ARJKJKP11E2835E6D3,0.733939
Neutral Milk Hotel,ARZN0BZ1187B99F496,0.588001
Guillaume Dufay,AR9JUVH1187FB4019E,0.522797
Sirinu,ARPIMUK11F4C844516,0.39275
EPMD,ARSQDUN1187B98D7D7,0.576397
Percy Faith,ARFTMGO1187B9A777A,0.620998
Die Krupps,ARHAPGK1187FB45F99,0.633338
LUBJAN,ARDUEGC122C8677436,0.433463
AU-D,ARGVFOM1187B99F380,0.500731
Avicii,ARWLAEE122BCFCA245,0.896362
