artist_name,artist_id,title,id,artist_hotttnesss
David Bowie,ARJA1841187FB3A029,The Wedding (2003 Digital Remaster),SOIAHTX12A6D4F7F20,0.814477
Love Tractor,ARCOQI01187FB4A3A3,Tropical,SOHYXFI1311AFEA81D,0.407313
Amesoeurs,AR50IDN1187FB4B0FA,Heurt (album version),SOSBCVN1313438FC9E,0.557096
Glowworm,AR43ERV1187FB5CA98,Periphescence,SONBZEB1312A8AB6E8,0.518306
Irreversible,AR7YT011187FB47C30,Liberation Through Hearing in the Intermediate State,SOVFYCF133EB4B3FCB,0.525879
San Cisco,ARYUOHX131529ED7A2,Golden Revolver,SOESQAE13E908B352B,0.574175
Ume,ARJKB0R1187FB43381,Rubicon,SOIBFPT141E909ECEF,0.501652
Sarah Blasko,AR7KV2A1187FB466FC,Lost And Defeated - Live At Sydney Opera House,SOHYGKK143168DF317,0.637859
Lee Kernaghan,AR4VW7A1187FB493FE,Down Under,SOESKSM134EDB03EC9,0.661273
Tommy Trash,ARUR1511187FB3DCB2,Need Me To Stay (Prok & Fitch Remix),SOIAPVT137538291A3,0.690422
seth sentry,ARIAYLE11EBCD7A32B,Thanks For Your Hospitality,SOIPPNH13DC2650327,0.683795
Laura Jean,AR29VNI1187B99420F,Love Is Going To Lead Us,SOERDFM13E6B796813,0.502095
John Williamson,AREQUJ71187FB3DEEB,It's A Way Of Life,SOETKYV12A6D4F9DC5,0.586096
Die Vamummtn,ARZIFFE1269FCD5C42,A bisl wos feat. Obi Gspritzt,SOHFLSW134EE36ADE2,0.471756
Hubert von Goisern,ARSX3H31187FB3D86F,I versteh di nit,SOETVKT1374135C84D,0.572219
Olivier Messiaen,AR342K51187B98B571,Quatuor pour la fin du temps (Quartet for the End of Time): III. Abime des oiseaux (version for clarinet),SOHYHEK147E7B1E865,0.528383
Ornette Coleman,ARB3TCS1187B99A0D2,Broad Way Blues,SOHYLBC14788D8EC8F,0.564632
Ulver,ARH5VMV1187B9AF579,Hymne IV,SOESFUL13C177DB34F,0.584334
Claudia Leitte,ARELANP125FEF31D72,Pot-Pourri: Bizarre Love Triangle / A Camisa e o Bot??o (Ao Vivo),SOHFCNX143863B99A5,0.588002
Wande Coal,ARAHXFH123E29C22C2,Same Shit (feat. Aka),SOIDMWL14FC44A6E31,0.568042
Aventura,ARL4W6Q1187FB4713C,La tormenta,SOIBKMN1311AFD59DE,0.626465
Gaiola Das Popozudas,ARVWKQV1187B9B9294,Agora T?? Solteira,SOPYTRV14A44142A24,0.551587
Todd Terje,AR0U6711187FB3FFB1,Q,SOIFNRN142C319E153,0.583945
Shantel,ARFCYCX1187FB3A704,Considerando,SOHYEKO1313439FA91,0.539764
Banda Sinaloense MS de Sergio Liz??rraga,ARLQFWU12AA0D9194B,No Se Ha Dado Cuenta,SOHYEML1315CD43912,0.765084
Aurthohin,AR07SXK1187B99D57E,Guti,SOIMJMX145086876E9,0.5056
Vocal Spectrum,ARFJOFR11F50C48B76,O Holy Night,SOHLSBF14A7830FABE,0.461069
Levende Lys,ARHQIHM12AF7DB884D,S?? G??r Vi Rundt Om En Eneb??rbusk,SOIBEJS13134394983,0.494688
Jojje Wadenius,ARXZEDD121318C5862,N??r jag blir miljon??r,SOLNEKM12A6701DC87,0.508376
