name,id,hotttnesss
Ernst Mosch und seine Original Egerl??nder Musikanten,AR8XG7M1187B9AD619,0.470494
Ricky Skaggs,ARQVA291187FB3B85A,0.54472
Buddy Guy,ARZXNFV1187B9BA2CD,0.597172
Eric Clapton,ARLAUED1187B9ACEAF,0.661966
Josh Smith,ARXNERV1241B9C64F0,0.437254
Tittsworth,ARI3LFX1187FB5464D,0.470801
Marco Antonio Mu??iz,AR9VPVF1187B99D740,0.557001
Willie Col??n,ARPVMJZ1187FB48D2D,0.580811
Jimmy Yancey,ARG02OJ1187B9AE1BD,0.493126
Ant??nio Carlos Jobim,ARIQC381187B9A825E,0.580549
S??rgio Mendes Trio,ARHDPNZ11E2835CEFC,0.4676
The Breeders,ARUMBUH1269FCCE7B8,0.556616
DJ Jubilee,ARPEHB71187B9A2AD0,0.448102
Darren Styles,AROUAIO1187FB37410,0.532012
Ludovico Einaudi,AR3MMZH1187B9B55D0,0.715816
Take That,ARCGLMM1187B9902B6,0.701285
Kermit Ruffins,ARSUCDL11F50C4E70B,0.549272
Boston Brass,ARHVD441187B9B759D,0.457062
Baden Powell,ARQHBH81187B98C195,0.513599
Aline Barros,ARPCELE126FC9C0EC9,0.568066
Emicida,AR65UIK1187B9AC580,0.661003
Na????o Zumbi,ARCEXLE1187FB3A93E,0.54831
Marisa Monte,ARXFP7U1187FB472E6,0.706517
Ratos de Por??o,AR3QU991187B9B2647,0.581136
Bassnectar,ARNCTJ91187B98D813,0.615705
Venetian Snares,ARPSEGS1241B9C4C40,0.547658
Under This,AR0CWSC1187B9AFE3F,0.501265
Jos?? Augusto,ARW2Y3T1187B9B1A47,0.494861
Sonerien Du,AR65T9K1187FB3842E,0.440932
Paul Anka,ARFEZGM11F4C83DD64,0.65688
Young Guns,ARFCUN31187B9AD578,0.584927
The Rolling Stones,ARRBMFE1187B9A430F,0.734121
Black Dyke Band,AR2DBFG1187B9A59FB,0.494929
Al Bowlly,ARSTKIT1187B9A37A8,0.490202
Richard Thompson,ARKZAYA1187FB56F00,0.552738
Bombay Bicycle Club,AR6XZ861187FB4CECD,0.614401
The Beatles,ARKVITV1187B9AE854,0.775545
Blur,ARFNIWW124549A3720,0.658973
Aaron Tveit,ARGQHYN1187FB3AEE1,0.568399
4hero,ARKCIJR130DCC6FB86,0.53521
The Echo-Friendly,ARUAMGA123E29C15AD,0.499968
Skrillex,ARF041T1187FB3B4FF,0.840568
Aborted,ARLOFHB1333D46420F,0.588909
Fallujah,AR48J791187FB52CEF,0.545433
DJ Quicksilver,AR7WSQE1187FB4CF08,0.546481
Aqua,ARY1LTC1187B9B1DC4,0.550799
The Monkees,ARKXMKT1257509CCF6,0.581232
Mastilo,ARGWITT12CEB275709,0.615408
St. Peter St. Paul Cathedral Choir of Minsk,ARWQ5781187B9909AC,0.45956
?????????,AR1FM9M1187FB3EBC0,0.665725
Makke,ARSVQJO1187FB4FE4F,0.482013
14 Iced Bears,ARSC6WR1187FB40B18,0.516553
Peggy Lee,ARJMTHE122C8677662,0.647238
Bonsoir Catin,ARK1C8Z1187B9ABAAB,0.407526
Lord Kitchener,AR7SEN311C8A414E87,0.493842
High Valley,ARGNJCK11EB9C82947,0.67105
JD ERA,ARZUROF12EBF655915,0.414185
Sam Roberts Band,ARU1LDO1187B9B19D2,0.551579
Kataklysm,ARRWGYU12086C17800,0.559338
Carly Rae Jepsen,ARY53RR1187B9AE485,0.798568
Avril Lavigne,ARPE9VW1187B9B2398,0.690703
Joaqu??n Sabina,ARAFWOX1187FB40FB0,0.669836
Fosforito,AR6QMID1187FB53957,0.485177
Caravan,ARRVZOQ1241B9CEA88,0.519886
?????????,ARVETJA1187FB4EE4E,0.665725
Gianni Vezzosi,ARQPCLH1187FB38B5E,0.469631
Mestre Acordeon,ARVADDL136F6F0C839,0.482665
M.S. Subbulakshmi,ARYQAYU11F50C4FB12,0.541272
Tut Tut Child,ARER3QP1187B9A8DC4,0.613529
Kesane Quartet,AR2O9281187FB46F8B,0.335759
Chris Tomlin,ARZDXAD11E8A2E28F7,0.702713
The Tulla Ceili Band,ARPXDY61187B9AD0A8,0.419539
Break of Reality,ARJDSMH122988FB0BB,0.525777
Clannad,ARWKGJD11F50C4ECF9,0.574072
Clannad,ARHFZXI11F50C4FA46,0.574072
Rum Rebellion,AR6ZO1H1187FB4DC49,0.522734
Pogues,ARFC93D1187FB49D2E,0.654386
Ardak Balazhanova,AR5O86P1187FB3B8CD,0.31648
Ceca,ARVR3BX1187FB362E7,0.532432
Arcade Fire,AR1L9EV1187B9976F0,0.714218
??dith Piaf,ARIPHHT1373E170F05,0.676587
Ren??e Martel,ARPFIKK122BCFCBE3B,0.451342
Cobalt,AR3X0GS1187FB3F714,0.530525
Code Orange Kids,ARCQRBO12D5CD791ED,0.530098
Svart Crown,ARHRKTK1187B99E1D5,0.493984
Buddy Guy,ARXPFF91187B988F9F,0.597172
Frankie Knuckles,ARULXDM1293C0280DF,0.569459
The Record Low,ARMSIFW11EBCD7AFE0,0.425098
Jackie Wilson,ARDNVBB12AA0D8C825,0.550906
Lighter Shade Of Brown,AR3FQ3U1187FB4070D,0.570809
Kidz Bop Kids,ARNF13I1187FB562A5,0.705363
Kidz Bop Kids,ARKPRZB13687E7215E,0.705363
Francisca Valenzuela,ARSRFIA1343CFCE018,0.616211
Aksutique,ARWOHDG122E6447E8D,0.444071
Triangle Sun,ARVWLC11187FB56F36,0.522308
Massive Attack,ARSDLGK11F4C83F58E,0.671334
My 7sky,ARQQXOM11F4C83F5DF,0.420251
Mitis,ARAPZZW1241B9C6B29,0.601403
Washed Out,AR5P0MZ1187B9B2A14,0.705973
Carsick Cars,ARTECOV11F50C4A109,0.44803
Gao Qingkui,ARLQQ2K1187B990ADA,0.263082
Guan Pinghu,ARD66TF1187B9A1670,0.414774
Jamesphoney,AR5JX5U1187FB52F2F,0.442744
Anamanaguchi,ARYAYTL12AA0D9135D,0.591576
"Choir Of King's College, Cambridge",ARWMFZH11C8A4219E0,0.536284
Pixinguinha,ARKJBGA1187B9973AF,0.518006
tobyMac,ARQETJY1187FB3FE74,0.681031
MercyMe,ARYDTFO1187B99B1E0,0.653336
David Thulin,ARTASUV1187B9A2B67,0.483536
For Today,AROSAOY11F33E00072,0.558835
LeCrae,ARCWYQD1264D12B94D,0.61123
Demon Hunter,ARG1ZFT1187FB5BF9A,0.576145
Chris Tomlin,AR5GE0Z1187B9A351F,0.702713
Relient K,ARNGM2T1187FB47B36,0.632161
tobyMac,ARQFAL91187B99904C,0.681031
Frank Sinatra,ARLXVO91187B9B9D2C,0.745919
Christmas Songs,ARC8DKT119B8667EDB,0.575587
Alchemyst,ARQZ0SI1187FB4870A,0.400774
Karl Leister,AROA9L21187B99AE80,0.427944
Rex Williams,ARZ6NT71187B99DD52,0.50414
Bart Ka??ll,ARSDMO81187FB3E152,0.529686
?????????,ARDPSN21187B98ECBF,0.500679
Los Visconti,ARDYYZF1187FB58716,0.495388
V??ra ??pinarov??,ARDJZ181187B9B7FBF,0.4831
Danser med drenge,ARUYIJ01187FB51CF6,0.523717
